ID,PA,PB,PC,PD,PE,PF,PG
PR40001,276,199,90,66,40,26,22
PR40002,598,377,196,144,80,52,44
PR40003,934,599,293,217,125,81,68
PR40004,1323,817,405,305,169,111,93
PR40005,1696,997,523,394,216,140,116
PR40006,2100,1224,638,469,264,171,142
PR40007,2504,1437,762,559,313,204,171
PR40008,2929,1653,895,650,365,240,199
PR40009,3339,1880,1012,720,412,274,225
PR40010,3735,2083,1143,811,462,308,252
PR40011,4120,2311,1256,883,509,338,277
PR40012,4499,2509,1386,972,558,372,303
PR40013,4859,2701,1515,1059,606,405,328
PR40014,5211,2913,1624,1126,651,434,352
PR40015,5570,3114,1744,1216,700,467,377
PR40016,5910,3312,1851,1309,750,496,403
PR40017,6126,3506,1932,1377,788,515,422
PR40018,6436,3697,2027,1468,837,542,445
PR40019,6606,3814,2084,1537,869,558,461
PR40020,6842,3979,2167,1597,906,579,479
PR40021,7053,4152,2247,1663,943,598,496
PR40022,7275,4293,2335,1746,983,621,518
PR40023,7461,4446,2415,1808,1017,638,536
PR40024,7785,4613,2523,1895,1065,667,557
PR40025,8095,4816,2620,1967,1108,694,581
PR40026,8478,4985,2744,2051,1157,728,605
PR40027,8784,5181,2834,2116,1196,756,628
PR40028,9183,5367,2961,2200,1247,792,654
PR40029,9478,5561,3051,2264,1285,820,677
PR40030,9832,5744,3167,2341,1332,853,705
PR40031,10118,5922,3259,2403,1369,880,728
PR40032,10486,6116,3381,2480,1419,915,754
PR40033,10763,6301,3466,2538,1454,942,776
PR40034,11153,6510,3588,2613,1506,977,802
PR40035,11523,6692,3697,2681,1553,1010,830
PR40036,11898,6887,3812,2747,1604,1045,855
PR40037,12263,7095,3935,2820,1654,1080,880
PR40038,12631,7293,4048,2892,1702,1113,909
PR40039,12972,7469,4146,2955,1741,1142,933
PR40040,13331,7658,4256,3026,1789,1175,960
PR40041,13579,7804,4334,3078,1821,1198,981
PR40042,13948,8002,4445,3153,1868,1231,1010
PR40043,14260,8165,4533,3220,1907,1259,1035
PR40044,14591,8342,4632,3289,1948,1288,1061
PR40045,14912,8508,4723,3359,1988,1318,1087
PR40046,15152,8644,4794,3407,2017,1338,1106
PR40047,15488,8825,4897,3480,2059,1368,1132
PR40048,15911,9030,5013,3556,2106,1403,1159
PR40049,16306,9230,5122,3628,2151,1434,1185
PR40050,16771,9445,5257,3719,2204,1473,1215
PR40051,17225,9665,5390,3811,2256,1510,1244
PR40052,17690,9893,5520,3908,2311,1547,1275
PR40053,18111,10077,5636,3991,2358,1578,1295
PR40054,18444,10264,5743,4058,2401,1609,1323
PR40055,18659,10385,5815,4110,2429,1633,1342
PR40056,18988,10546,5919,4181,2472,1663,1367
PR40057,19323,10723,6020,4249,2512,1694,1390
PR40058,19702,10918,6138,4328,2562,1730,1420
PR40059,20067,11118,6245,4398,2605,1762,1447
PR40060,20387,11281,6343,4458,2649,1795,1472
PR40061,20682,11412,6410,4513,2677,1820,1490
PR40062,21027,11576,6516,4577,2724,1851,1514
PR40063,21366,11738,6617,4646,2766,1881,1538
PR40064,21686,11916,6719,4712,2808,1909,1562
PR40065,22163,12144,6855,4805,2862,1946,1591
PR40066,22537,12328,6965,4893,2908,1977,1610
PR40067,22921,12519,7091,4981,2958,2011,1634
PR40068,23310,12709,7216,5065,3008,2046,1659
PR40069,23705,12874,7335,5148,3056,2082,1680
PR40070,24090,13046,7456,5223,3106,2116,1704
PR40071,24209,13127,7499,5265,3123,2133,1721
PR40072,24327,13208,7540,5301,3137,2147,1735
PR40073,24611,13352,7610,5346,3169,2170,1752
PR40074,24896,13524,7699,5403,3207,2199,1773
PR40075,25256,13718,7809,5476,3259,2234,1801
PR40076,25512,13850,7892,5531,3292,2258,1823
PR40077,25831,14005,7987,5600,3332,2288,1850
PR40078,26113,14154,8076,5659,3369,2313,1873
PR40079,26360,14278,8148,5711,3400,2334,1891
PR40080,26600,14396,8202,5763,3426,2353,1906
PR40081,26894,14610,8302,5836,3470,2378,1928
PR40082,27222,14788,8409,5925,3518,2407,1952
PR40083,27584,15015,8516,6001,3565,2436,1976
PR40084,27950,15184,8635,6087,3612,2469,1997
PR40085,28251,15390,8732,6160,3655,2495,2020
PR40086,28621,15567,8851,6240,3701,2526,2048
PR40087,28934,15764,8942,6308,3741,2554,2071
PR40088,29305,15920,9054,6386,3790,2588,2089
PR40089,29601,16114,9142,6450,3828,2616,2112
PR40090,30001,16294,9268,6532,3878,2653,2136
PR40091,30293,16488,9357,6597,3915,2681,2158
PR40092,30541,16661,9440,6653,3948,2707,2180
PR40093,30864,16827,9553,6714,3997,2742,2203
PR40094,31167,16977,9650,6770,4038,2772,2228
PR40095,31498,17159,9764,6832,4087,2807,2251
PR40096,31844,17335,9871,6898,4131,2838,2278
PR40097,32215,17534,9988,6968,4182,2873,2303
PR40098,32543,17695,10091,7029,4225,2903,2329
PR40099,32836,17837,10164,7078,4259,2926,2348
PR40100,33135,17993,10252,7134,4301,2955,2370
PR40101,33321,18121,10315,7175,4326,2973,2385
PR40102,33577,18261,10398,7232,4365,3003,2404
PR40103,33886,18411,10482,7290,4404,3030,2427
PR40104,34174,18555,10560,7347,4443,3056,2448
PR40105,34469,18699,10638,7406,4481,3082,2470
PR40106,34655,18826,10701,7447,4506,3100,2486
PR40107,34892,18958,10772,7504,4542,3127,2503
PR40108,35185,19102,10856,7560,4580,3153,2525
