,ID,PA,PB,PC,PD,PE,PF,PG
0,PR40001,82,0,0,0,0,0,0
1,PR40002,256,0,0,0,0,0,0
2,PR40003,514,0,0,0,1,0,0
3,PR40004,864,0,1,1,2,0,0
4,PR40005,1308,1,2,2,3,1,1
5,PR40006,1839,1,3,3,4,1,1
6,PR40007,2464,2,4,4,6,2,2
7,PR40008,3184,3,5,5,7,2,3
8,PR40009,3991,4,7,6,9,3,4
9,PR40010,4893,4,9,8,11,4,4
10,PR40011,5882,5,10,9,14,4,5
11,PR40012,6968,7,12,11,16,5,6
12,PR40013,8150,8,15,13,19,6,8
13,PR40014,9420,9,17,15,22,7,9
14,PR40015,10786,10,19,17,25,8,10
15,PR40016,12249,12,22,19,28,10,12
16,PR40017,13800,13,25,22,32,11,13
17,PR40018,15448,15,28,24,35,12,15
18,PR40019,17192,17,31,27,39,14,16
19,PR40020,19025,18,34,30,43,15,18
20,PR40021,20946,20,38,33,48,17,20
21,PR40022,22962,22,42,36,52,18,22
22,PR40023,25066,24,45,40,57,20,24
23,PR40024,27265,26,49,43,62,22,26
24,PR40025,29548,29,54,47,67,24,29
25,PR40026,31925,31,58,51,73,25,31
26,PR40027,34384,34,62,55,78,27,33
27,PR40028,36934,36,67,59,84,30,36
28,PR40029,39565,39,72,63,90,32,38
29,PR40030,42286,41,77,67,97,34,41
30,PR40031,45087,44,82,72,103,36,44
31,PR40032,47976,47,87,77,110,39,47
32,PR40033,50944,50,93,81,116,41,50
33,PR40034,53999,53,98,86,123,44,53
34,PR40035,57140,56,104,92,131,46,56
35,PR40036,60366,59,110,97,138,49,59
36,PR40037,63679,63,116,102,145,51,62
37,PR40038,67076,66,123,108,153,54,66
38,PR40039,70555,70,129,113,161,57,69
39,PR40040,74117,73,136,119,169,60,73
40,PR40041,77756,77,143,125,177,63,77
41,PR40042,81477,81,150,131,186,66,80
42,PR40043,85279,85,157,138,194,69,84
43,PR40044,89162,89,164,144,203,73,88
44,PR40045,93127,93,172,151,212,76,92
45,PR40046,97166,97,179,157,221,79,96
46,PR40047,101286,101,187,164,230,83,100
47,PR40048,105491,105,195,171,240,86,105
48,PR40049,109783,110,203,179,249,90,109
49,PR40050,114167,114,212,186,259,94,114
50,PR40051,118646,119,220,193,269,98,118
51,PR40052,123218,124,229,201,280,101,123
52,PR40053,127887,128,237,209,290,105,127
53,PR40054,132640,133,246,217,301,109,132
54,PR40055,137471,138,256,225,312,113,137
55,PR40056,142382,143,265,233,322,118,142
56,PR40057,147373,148,274,241,334,122,147
57,PR40058,152447,153,284,250,345,126,153
58,PR40059,157605,159,294,258,356,130,158
59,PR40060,162849,164,304,267,368,135,163
60,PR40061,168179,170,314,276,380,139,169
61,PR40062,173598,175,324,285,392,144,174
62,PR40063,179106,181,335,294,404,149,180
63,PR40064,184701,187,345,303,417,153,186
64,PR40065,190390,193,356,313,429,158,191
65,PR40066,196175,198,367,323,442,163,197
66,PR40067,202056,205,378,332,455,168,203
67,PR40068,208030,211,390,342,468,173,209
68,PR40069,214098,217,401,352,482,178,216
69,PR40070,220255,223,413,363,495,183,222
70,PR40071,226490,230,425,373,509,189,228
71,PR40072,232803,236,436,384,523,194,235
72,PR40073,239200,243,449,394,537,199,241
73,PR40074,245677,249,461,405,551,205,248
74,PR40075,252239,256,473,416,565,210,254
75,PR40076,258873,263,486,427,580,216,261
76,PR40077,265588,270,499,438,595,222,268
77,PR40078,272384,277,512,450,610,227,275
78,PR40079,279261,284,525,461,625,233,282
79,PR40080,286216,291,538,473,640,239,289
80,PR40081,293259,298,552,485,655,245,297
81,PR40082,300396,306,565,497,671,251,304
82,PR40083,307620,313,579,509,687,257,311
83,PR40084,314938,321,593,521,703,264,319
84,PR40085,322343,328,607,534,719,270,326
85,PR40086,329839,336,622,546,736,276,334
86,PR40087,337421,344,636,559,753,283,342
87,PR40088,345096,352,651,572,770,289,350
88,PR40089,352853,360,665,585,787,296,358
89,PR40090,360701,368,680,598,804,302,366
90,PR40091,368631,376,696,611,822,309,374
91,PR40092,376641,384,711,625,839,316,382
92,PR40093,384739,393,726,638,857,323,390
93,PR40094,392923,401,742,652,875,330,399
94,PR40095,401195,410,758,666,894,337,407
95,PR40096,409553,419,774,680,912,344,416
96,PR40097,417998,427,790,694,931,351,425
97,PR40098,426527,436,806,708,950,358,433
98,PR40099,435140,445,823,723,969,366,442
99,PR40100,443836,454,839,737,988,373,451
100,PR40101,452610,463,856,752,1007,380,460
101,PR40102,461468,472,873,767,1027,388,469
102,PR40103,470409,481,890,782,1046,396,479
103,PR40104,479433,491,907,797,1066,403,488
104,PR40105,488540,500,925,813,1086,411,497
105,PR40106,497723,510,942,828,1106,419,507
106,PR40107,506990,519,960,844,1127,427,516
107,PR40108,516338,529,978,860,1147,435,526
108,PR40109,525761,539,996,876,1168,443,536
109,PR40110,535266,549,1015,892,1189,451,546
110,PR40111,544851,559,1033,908,1210,459,555
111,PR40112,554518,569,1052,924,1232,468,565
112,PR40113,564267,579,1071,941,1253,476,576
113,PR40114,574094,589,1089,957,1275,484,586
114,PR40115,584000,600,1109,974,1296,493,596
115,PR40116,593986,610,1128,991,1318,501,606
116,PR40117,604049,621,1147,1008,1341,510,617
117,PR40118,614191,631,1167,1026,1363,519,627
118,PR40119,624410,642,1187,1043,1385,528,638
119,PR40120,634706,653,1207,1060,1408,536,649
120,PR40121,645079,664,1227,1078,1431,545,660
121,PR40122,655523,675,1247,1096,1454,554,671
122,PR40123,666048,686,1268,1114,1477,564,682
123,PR40124,676653,697,1288,1132,1501,573,693
124,PR40125,687338,708,1309,1150,1524,582,704
125,PR40126,698106,720,1330,1169,1548,591,715
126,PR40127,708959,731,1351,1187,1572,601,726
127,PR40128,719907,742,1372,1206,1596,610,738
128,PR40129,730951,754,1394,1225,1620,620,749
129,PR40130,742081,766,1415,1244,1645,629,761
130,PR40131,753306,778,1437,1263,1670,639,773
131,PR40132,764617,789,1459,1282,1695,649,785
132,PR40133,776024,801,1481,1302,1720,659,797
133,PR40134,787524,813,1504,1321,1745,669,809
134,PR40135,799118,826,1526,1341,1771,679,821
135,PR40136,810804,838,1549,1361,1796,689,833
136,PR40137,822578,850,1571,1381,1822,699,845
137,PR40138,834445,863,1594,1401,1848,709,857
138,PR40139,846386,875,1617,1421,1875,719,870
139,PR40140,858405,888,1641,1442,1901,730,882
140,PR40141,870505,900,1664,1462,1928,740,895
141,PR40142,882676,913,1688,1483,1955,750,908
142,PR40143,894927,926,1712,1504,1982,761,920
143,PR40144,907256,939,1735,1525,2009,772,933
144,PR40145,919664,952,1760,1546,2037,782,946
145,PR40146,932149,965,1784,1568,2064,793,959
146,PR40147,944712,978,1808,1589,2092,804,972
147,PR40148,957352,992,1833,1611,2120,815,986
148,PR40149,970070,1005,1858,1633,2148,826,999
149,PR40150,982875,1019,1883,1654,2177,837,1012
150,PR40151,995767,1032,1908,1677,2205,848,1026
151,PR40152,1008736,1046,1933,1699,2234,860,1040
152,PR40153,1021785,1060,1958,1721,2263,871,1053
153,PR40154,1034910,1074,1984,1744,2292,882,1067
154,PR40155,1048120,1088,2010,1766,2321,894,1081
155,PR40156,1061416,1102,2036,1789,2350,905,1095
156,PR40157,1074800,1116,2062,1812,2380,917,1109
157,PR40158,1088271,1130,2088,1835,2410,929,1123
158,PR40159,1101832,1144,2115,1858,2440,940,1137
159,PR40160,1115482,1159,2141,1882,2470,952,1152
160,PR40161,1129222,1173,2168,1905,2500,964,1166
161,PR40162,1143048,1188,2195,1929,2531,976,1180
162,PR40163,1156965,1202,2222,1953,2562,988,1195
163,PR40164,1170967,1217,2249,1977,2593,1000,1210
164,PR40165,1185062,1232,2277,2001,2624,1012,1224
165,PR40166,1199243,1247,2304,2025,2656,1025,1239
166,PR40167,1213516,1262,2332,2049,2688,1037,1254
167,PR40168,1227876,1277,2360,2074,2720,1050,1269
168,PR40169,1242330,1292,2388,2099,2752,1062,1284
169,PR40170,1256878,1308,2416,2124,2784,1075,1300
170,PR40171,1271512,1323,2445,2149,2817,1087,1315
171,PR40172,1286232,1338,2473,2174,2850,1100,1330
172,PR40173,1301045,1354,2502,2199,2883,1113,1346
173,PR40174,1315952,1370,2531,2224,2916,1126,1361
174,PR40175,1330945,1385,2560,2250,2949,1139,1377
175,PR40176,1346031,1401,2590,2276,2983,1152,1393
176,PR40177,1361201,1417,2619,2302,3017,1165,1408
177,PR40178,1376463,1433,2649,2328,3051,1178,1424
178,PR40179,1391808,1449,2678,2354,3085,1191,1440
179,PR40180,1407244,1465,2708,2380,3119,1204,1457
180,PR40181,1422761,1482,2738,2407,3154,1218,1473
181,PR40182,1438367,1498,2769,2433,3189,1231,1489
182,PR40183,1454063,1515,2799,2460,3224,1245,1505
183,PR40184,1469846,1531,2830,2487,3259,1258,1522
184,PR40185,1485716,1548,2860,2514,3295,1272,1538
185,PR40186,1501673,1565,2891,2541,3330,1286,1555
186,PR40187,1517717,1581,2922,2568,3366,1300,1572
187,PR40188,1533845,1598,2954,2596,3402,1314,1589
188,PR40189,1550058,1615,2985,2623,3438,1328,1605
189,PR40190,1566356,1632,3017,2651,3475,1342,1622
190,PR40191,1582736,1650,3048,2679,3511,1356,1640
191,PR40192,1599192,1667,3080,2707,3548,1370,1657
192,PR40193,1615727,1684,3112,2735,3585,1384,1674
193,PR40194,1632340,1702,3145,2764,3622,1399,1691
194,PR40195,1649032,1719,3177,2792,3659,1413,1709
195,PR40196,1665801,1737,3210,2821,3697,1427,1726
